index,title,conference,year,abstract,pdf_url
92,Real-time Dexterous Telemanipulation with an End-Effect-Oriented Learning-based Approach,IROS,2024,"Dexterous telemanipulation is crucial in advancing human-robot systems, especially in tasks requiring precise and safe manipulation. However, it faces significant challenges due to the physical differences between human and robotic hands, the dynamic interaction with objects, and the indirect control and perception of the remote environment. Current approaches predominantly focus on mapping the human hand onto robotic counterparts to replicate motions, which exhibits a critical oversight: it often neglects the physical interaction with objects and relegates the interaction burden to the human to adapt and make laborious adjustments in response to the indirect and counter-intuitive observation of the remote environment. This work develops an End-Effects-Oriented Learning-based Dexterous Telemanipulation (EFOLD) framework to address telemanipulation tasks. EFOLD models telemanipulation as a Markov Game, introducing multiple end-effect features to interpret the human operator’s commands during interaction with objects. These features are used by a Deep Reinforcement Learning policy to control the robot and reproduce such end effects. EFOLD was evaluated with real human subjects and two end-effect extraction methods for controlling a virtual Shadow Robot Hand in telemanipulation tasks. EFOLD achieved real-time control capability with low command following latency (delay<0.11s) and highly accurate tracking (MSE<0.084 rad).",https://arxiv.org/pdf/2408.00853.pdf
93,A Cascaded Broad Learning System for Manipulator Motion Control,IROS,2024,"Intelligent control methods have led to a significant simplification of the robotic arm modeling and control tuning process, and thus they have been widely used. To further improve the precision of robotic arm motion control, this paper proposes a robotic arm motion control strategy based on a cascaded feature-enhanced elastic-net broad learning system (CFE-EN-BLS). This will fully extract data features to improve motion control accuracy. Moreover, ElasticNet regression is introduced to reduce feature redundancy. Finally, Lyapunov stability theory is introduced to constrain the learning parameters of the proposed learning method to enhance the convergence of the control strategy. The simulation and experiment show that the proposed control strategy can realize high-precision trajectory tracking control of the robotic arm.",https://ieeexplore.ieee.org/document/10802175/
94,Learning Bimanual Manipulation Policies for Bathing Bed-bound People,IROS,2024,"Assistive robots hold promise in enhancing the quality of life for older adults and people with mobility impairments in daily bed bathing routines. When providing bathing assistance to bed-bound people, human caregivers often support the joints when lifting the arms and legs to properly wash and dry occluded areas. This research introduces a novel approach to robotic bed bathing manipulation, where a bimanual robot learns to lift a target limb while controlling a cleaning tool to bath the surface within safe force bounds. To ensure safe, cooperative bath manipulation, our work combines Multi-Agent Reinforcement Learning (MARL) framework with a variable impedance action space enabling adaptive interaction with the environment and carefully-designed reward functions regulating contact force on the human body. Simulation results demonstrate improved bathing area coverage compared to unimanual models and exhibit great adaptability to contact-rich interaction within a safe force boundary. We validate our approach across various human body sizes, showcasing its generalizability. We also transfer our models to a physical Baxter robot bathing a medical-grade manikin. We further incorporate a force tracking controller with the trained models to enhance adaptation to noisy real-world bathing scenarios. To the best of our knowledge, this is the first robot-assisted bed bathing application that performs autonomous bathing around the human body using bimanual robot arms.",https://ieeexplore.ieee.org/document/10801478/
95,On Learning Scene-aware Generative State Abstractions for Task-level Mobile Manipulation Planning,IROS,2024,"Task and motion planning (TAMP) is a promising approach for efficient long-horizon manipulation planning, which is a prerequisite for being able to deploy manipulation systems in human-centered environments at scale. TAMP systems often rely on so-called predicates to abstractly describe the world. Today, predicates and their groundings are often hand-engineered. Furthermore, robot action parameterizations required to fulfill desired predicates are typically discovered by sampling naively or using oracles (again hand-engineered). We aim to automate predicate discovery and grounding with a system that learns to classify the state of predicates in a set of scenes while concurrently learning to generate scene configurations that fulfill the desired predicates. Our results show that high classification accuracies and generation success rates can be achieved with architectures based on multi-layer perceptrons (MLPs) and graph neural networks (GNNs) that are trained on bounding box as well as point cloud-based features in a Generative Adversarial Network (GAN)-inspired fashion, decisively outperforming both decision tree and uniform sampler baselines. The integration of our framework into a TAMP system demonstrates its positive impact on solving mobile manipulation tasks. A reference implementation of our method and data are available at https://github.com/ethzasl/predicate_learning.",https://ieeexplore.ieee.org/document/10802285/
96,ActNeRF: Uncertainty-aware Active Learning of NeRF-based Object Models for Robot Manipulators using Visual and Re-orientation Actions,IROS,2024,"Manipulating unseen objects is challenging without a 3D representation, as objects generally have occluded surfaces. This requires physical interaction with objects to build their internal representations. This paper presents an approach that enables a robot to rapidly learn the complete 3D model of a given object for manipulation in unfamiliar orientations. We use an ensemble of partially constructed NeRF models to quantify model uncertainty to determine the next action (a visual or re-orientation action) by optimizing informativeness and feasibility. Further, our approach determines when and how to grasp and re-orient an object given its partial NeRF model and re-estimates the object pose to rectify misalignments introduced during the interaction. Experiments with a simulated Franka Emika Robot Manipulator operating in a tabletop environment with benchmark objects demonstrate an improvement of (i) 14% in visual reconstruction quality (PSNR), (ii) 20% in the geometric/depth reconstruction of the object surface (F-score) and (iii) 71% in the task success rate of manipulating objects a-priori unseen orientations/stable configurations in the scene; over current methods. The project page can be found at https://actnerf.github.io/",https://ieeexplore.ieee.org/document/10801767/
97,Safe multi-agent reinforcement learning for bimanual dexterous manipulation,IROS,2024,"Bimanual dexterous manipulation in robotics, essential for a wide range of applications, addresses the critical challenge of balancing intricate operational capabilities with assured safety and reliability. While Safe Reinforcement Learning is integral to the robustness of robotic systems, the area of safe multi-agent reinforcement learning (MARL), cooperative control of multiple robots has been scarcely studied. In this study, we explore MARL for safe cooperative control with multiple robot hands. Each robot must follow individual and collective safety guidelines to ensure safe team actions. However, the non-stationarity inherent in current algorithms hinders the precise updating of strategies to satisfy these safety constraints effectively. In this paper, we propose Multi-Agent Constrained Proximal Advantage Optimization (MAC-PAO), which considers the sequence of agent updates and integrates non-stationarity into sequential update schemes. This algorithm ensures consistent improvement in both rewards and adherence to safety constraints in each iteration. We tested MACPAO on various tasks with safety constraints and demonstrated that it outperforms other MARL algorithms in balancing reward enhancement and safety compliance. Supplementary materials and code are available at the provided link https://github.com/YONEX4090/MultiSafeHand.git.",https://ieeexplore.ieee.org/document/10801490/
98,Robot Generating Data for Learning Generalizable Visual Robotic Manipulation,IROS,2024,"It has been a popular trend in AI to pretrain foundation models on massive data. However, collecting sufficient offline training trajectories for robot learning is particularly expensive since valid control actions are required. Therefore, most existing robotic datasets are collected from human experts. We tackle such a data collection issue with a new framework called ""robot self-teaching"", which asks the robot to self-generate effective training data instead of relying on human demonstrators. Our key idea is to train a separate data-generation policy operating on the state space to automatically generate meaningful actions and trajectories with ever-growing complexities. Then, these generated data can be further used to train a visual policy with strong compositional generalization capabilities. We validate our framework in two visual manipulation testbeds, including a multi-object stacking domain and a popular RL benchmark ""Franka kitchen"". Experiments show that the final visual policy trained on self-generated data can accomplish novel testing goals that require long-horizon robot executions. Project website https://sites.google.com/view/robot-self-teaching.",https://ieeexplore.ieee.org/document/10801742/
99,A Novel Obstacle-Avoidance Solution With Non-Iterative Neural Controller for Joint-Constrained Redundant Manipulators,IROS,2023,"Obstacle avoidance (OA) and joint-limit avoidance (JLA) are essential for redundant manipulators to ensure safe and reliable robotic operations. One solution to OA and JLA is to incorporate the involved constraints into a quadratic programming (QP), by solving which OA and JLA can be achieved. There exist a few non-iterative solvers such as zeroing neural networks (ZNNs), which can solve each sampled QP problem using only one iteration, yet no solution is suitable for OA and JLA due to the absence of some derivative information. To tackle these issues, this paper proposes a novel solution with a non-iterative neural controller termed NCP-ZNN for joint-constrained redundant manipulators. Unlike iterative methods, the neural controller involving derivative information proposed in this paper possesses some positive features including non-iterative computing and convergence with time. In this paper, the reestablished OA-JLA scheme is first introduced. Then, the design details of the neural controller are presented. After that, some comparative simulations based on a PA10 robot and an experiment based on a Franka Emika Panda robot are conducted, demonstrating that the proposed neural controller is more competent in OA and JLA.",https://ieeexplore.ieee.org/document/10342293/
100,AdaptiGraph: Material-Adaptive Graph-Based Neural Dynamics for Robotic Manipulation,RSS,2024,Predictive models are a crucial component of many robotic systems. Yet; constructing accurate predictive models for a variety of deformable objects; especially those with unknown physical properties; remains a significant challenge. This paper introduces AdaptiGraph; a learning-based dynamics modeling approach that enables robots to predict; adapt to; and control a wide array of challenging deformable materials with unknown physical properties. AdaptiGraph leverages the highly flexible graph-based neural dynamics (GBND) framework; which represents material bits as particles and employs a graph neural network (GNN) to predict particle motion. Its key innovation is a unified physical property-conditioned GBND model capable of predicting the motions of diverse materials with varying physical properties without retraining. Upon encountering new materials during online deployment; AdaptiGraph utilizes a physical property optimization process for a few-shot adaptation of the model; enhancing its fit to the observed interaction data. The adapted models can precisely simulate the dynamics and predict the motion of various deformable materials; such as ropes; granular media; rigid boxes; and cloth; while adapting to different physical properties; including stiffness; granular size; and center of pressure. On prediction and manipulation tasks involving a diverse set of real-world deformable objects; our method exhibits superior prediction accuracy and task proficiency over non-material-conditioned and non-adaptive models.,https://www.roboticsproceedings.org/rss20/p010.pdf
101,Human-oriented Representation Learning for Robotic Manipulation,RSS,2024,Humans inherently possess generalizable visual representations that empower them to efficiently explore and interact with the environments in manipulation tasks. We advocate that such a representation automatically arises from simultaneously learning about multiple simple perceptual skills that are critical for everyday scenarios (e.g.; hand detection; state estimate; etc.) and is better suited for learning robot manipulation policies compared to current state-of-the-art visual representations purely based on self-supervised objectives. We formalize this idea through the lens of human-oriented multi-task fine-tuning on top of pre-trained visual encoders; where each task is a perceptual skill tied to human-environment interactions. We introduce Task Fusion Decoder as a plug-and-play embedding translator that utilizes the underlying relationships among these perceptual skills to guide the representation learning towards encoding meaningful structure for what’s important for all perceptual skills; ultimately empowering learning of downstream robotic manipulation tasks. Extensive experiments across a range of robotic tasks and embodiments; in both simulations and real-world environments; show that our Task Fusion Decoder consistently improves the representation of three state-of-the-art visual encoders including R3M; MVP; and EgoVLP; for downstream manipulation policy-learning. More demos; datasets; models; and code can be found at <>.,https://www.roboticsproceedings.org/rss20/p011.pdf
102,RVT-2: Learning Precise Manipulation from Few Demonstrations,RSS,2024,In this work; we study how to build a robotic system that can solve multiple 3D manipulation tasks given language instructions. To be useful in industrial and household domains; such a system should be capable of learning new tasks with few demonstrations and solving them precisely. Prior works; like PerAct and RVT; have studied this problem; however; they often struggle with tasks requiring high precision. We study how to make them more effective; precise; and fast. Using a combination of architectural and system-level improvements; we propose RVT-2; a multitask 3D manipulation model that is 6X faster in training and 2X faster in inference than its predecessor RVT. RVT-2 achieves a new state-of-the-art on RLBench; improving the success rate from 65% to 82%. RVT-2 is also effective in the real world; where it can learn tasks requiring high precision; like picking up and inserting plugs; with just 10 demonstrations. Visual results; code; and trained model are provided at: https://robotic-view-transformer-2.github.io/.,https://www.roboticsproceedings.org/rss20/p055.pdf
103,Pushing the Limits of Cross-Embodiment Learning for Manipulation and Navigation,RSS,2024,Recent years in robotics and imitation learning have shown remarkable progress in training large-scale foundation models by leveraging data across a multitude of embodiments. The success of such policies might lead us to wonder: just how diverse can the robots in the training set be while still facilitating positive transfer? In this work; we study this question in the context of heterogeneous embodiments; examining how even seemingly very different domains such as robotic navigation and manipulation can provide benefits when included in the training data for the same model. We train a single goal-conditioned policy that is capable of controlling a robotic arm; quadcopter; quadruped; and mobile base. We then investigate the extent to which transfer can occur across navigation and manipulation by framing them as a single goal-reaching task. In particular; we find that co-training with navigation data can enhance robustness and performance in goal-conditioned manipulation with a wrist-mounted camera. We then deploy our policy trained only from navigation-only and static manipulation-only data on a mobile manipulator; showing that it can control a similar but novel embodiment in a zero-shot manner. These results provide evidence that large-scale robotic policies can benefit from data collected across a wide variety of embodiments.,https://www.roboticsproceedings.org/rss20/p093.pdf
104,Construction of a Multiple-DOF Underactuated Gripper with Force-Sensing via Deep Learning,RSS,2024,Under-actuated robotic grippers; regarded as critical components of robotic grasping; have attracted considerable attention. However; existing under-actuated grippers emerge with several primary issues; including low payload; insufficient force sensing; small grasping force; weak grasping stability as well as high cost; hindering widespread applications. Some of these grippers can only implement a single grasping mode; thereby imposing restrictions on dimensional ranges of objects. To well relieve all relevant research gaps; we present a novel under-actuated gripper with two 3-joint fingers; which realizes force feedback control by the deep learning technique- Long Short-Term Memory (LSTM) model; without any force sensor. First; a five-linkage mechanism stacked by double four-linkages is designed as a finger to automatically achieve the transformation between parallel and enveloping grasping modes. This enables the creation of a low-cost under-actuated gripper comprising a single actuator and two 3-phalange fingers. Second; we devise theoretical models of kinematics and power transmission based on the proposed gripper; accurately obtaining fingertip positions and contact forces. Through coupling and decoupling of five-linkage mechanisms; the proposed gripper offers the expected capabilities of grasping payload/force/stability and objects with large dimension ranges. Third; to realize the force control; an LSTM model is proposed to determine the grasping mode for synthesizing force-feedback control policies that exploit contact sensing after outlining the uncertainty of currents using a statistical method. Finally; a series of experiments are implemented to measure quantitative indicators; such as the payload; grasping force; force sensing; grasping stability and the dimension ranges of objects to be grasped. Additionally; the grasping performance of the proposed gripper is verified experimentally to guarantee the high versatility and robustness of the proposed gripper. A very promising strategy combining mechanism design and artificial intelligence (AI) technology will be highly impactful on the construction of robotic grippers. A uploaded video in YouTube: https://youtu.be/TDyCUtxnePQ.,https://www.roboticsproceedings.org/rss20/p101.pdf
105,Learning Manipulation by Predicting Interaction,RSS,2024,Representation learning approaches for robotic manipulation have boomed in recent years. Due to the scarcity of in-domain robot data; prevailing methodologies tend to leverage large-scale human video datasets to extract generalizable features for visuomotor policy learning. Despite the progress achieved; prior endeavors disregard the interactive dynamics that capture behavior patterns and physical interaction during the manipulation process; resulting in an inadequate understanding of the relationship between objects and the environment. To this end; we propose a general pre-training pipeline that learns Manipulation by Predicting the Interaction (MPI) and enhances the visual representation. Given a pair of keyframes representing the initial and final states; along with language instructions; our algorithm predicts the transition frame and detects the interaction object; respectively. These two learning objectives achieve superior comprehension towards “how-to-interact” and “where-to-interact”. We conduct a comprehensive evaluation of four challenging robotic tasks. The experimental results demonstrate that MPI exhibits remarkable improvement by 10% to 64% compared with previous state-of-the-art in real-world robot platforms as well as simulation environments. Code and checkpoints are  publicly shared at https://github.com/OpenDriveLab/MPI.,https://www.roboticsproceedings.org/rss20/p123.pdf
106,Tilde: Teleoperation for Dexterous In-Hand Manipulation Learning with a DeltaHand,RSS,2024,Dexterous robotic manipulation remains a challenging domain due to its strict demands for precision and robustness on both hardware and software. While dexterous robotic hands have demonstrated remarkable capabilities in complex tasks; efficiently learning adaptive control policies for hands still presents a significant hurdle given the high dimensionalities of hands and tasks. To bridge this gap; we propose Tilde; an imitation learning-based in-hand manipulation system on a dexterous DeltaHand. It leverages 1) a low-cost; configurable; simple-to-control; soft dexterous robotic hand; DeltaHand; 2) a user-friendly; precise; real-time teleoperation interface; TeleHand; and 3) an efficient and generalizable imitation learning approach with diffusion policies. Our proposed TeleHand has a kinematic twin design to the DeltaHand that enables precise one-to-one joint control of the DeltaHand during teleoperation. This facilitates efficient high-quality data collection of human demonstrations in the real world. To evaluate the effectiveness of our system; we demonstrate the fully autonomous closed-loop deployment of diffusion policies learned from demonstrations across seven dexterous manipulation tasks with an average 90\% success rate.,https://www.roboticsproceedings.org/rss20/p128.pdf
107,One-Shot Imitation Learning with Invariance Matching for Robotic Manipulation,RSS,2024,Learning a single universal policy that can perform a diverse set of manipulation tasks is a promising new direction in robotics. However; existing techniques are limited to learning policies that can only perform tasks that are encountered during training; and require a large number of demonstrations to learn new tasks. Humans; on the other hand; often can learn a new task from a single unannotated demonstration. In this work; we propose the Invariance-Matching One-shot Policy Learning (IMOP) algorithm. In contrast to the standard practice of learning the end-effector’s pose directly; IMOP first learns invariant regions of the state space for a given task; and then computes the end-effector’s pose through matching the invariant regions between demonstrations and test scenes. Trained on the 18 RLBench tasks; IMOP achieves a success rate that outperforms the state- of-the-art consistently; by 4.5% on average over the 18 tasks. More importantly; IMOP can learn a novel task from a single unannotated demonstration; and without any fine-tuning; and achieves an average success rate improvement of 11.5% over the state-of-the-art on 22 novel tasks selected across nine categories. IMOP can also generalize to new shapes and learn to manipulate objects that are different from those in the demonstration. Further; IMOP can perform one-shot sim-to-real transfer using a single real-robot demonstration.,https://www.roboticsproceedings.org/rss20/p134.pdf
108,Learning Fine-Grained Bimanual Manipulation with Low-Cost Hardware,RSS,2023,Fine manipulation tasks; such as threading cable ties or slotting a battery; are notoriously difficult for robots because they require precision; careful coordination of contact forces; and closed-loop visual feedback. Performing these tasks typically requires high-end robots; accurate sensors; or careful calibration; which can be expensive and difficult to set up. Can learning enable low-cost and imprecise hardware to perform these fine manipulation tasks? We present a low-cost system that performs end-to-end imitation learning directly from real demonstrations; collected with a custom teleoperation interface. Imitation learning; however; presents its own challenges; particularly in high-precision domains: the error of the policy can compound over time; drifting out of the training distribution. To address this challenge; we develop a simple yet novel algorithm Action Chunking with Transformers (ACT) which reduces the effective horizon by predicting actions in chunks. This allows us to learn difficult tasks such as opening a translucent condiment cup and slotting a battery with 80-90% success; with only 10 minutes worth of demonstration data. Project website: https://tonyzhaozh.github.io/aloha/,https://www.roboticsproceedings.org/rss19/p016.pdf
109,Sampling-based Exploration for Reinforcement Learning of Dexterous Manipulation,RSS,2023,In this paper; we present a novel method for achieving dexterous manipulation of complex objects; while simultaneously securing the object without the use of passive support surfaces. We posit that a key difficulty for training such policies in a Reinforcement Learning framework is the difficulty of exploring the problem state space; as the accessible regions of this space form a complex structure along manifolds of a high-dimensional space. To address this challenge; we use two versions of the non-holonomic Rapidly-Exploring Random Trees algorithm; one version is more general; but requires explicit use of the environment’s transition function; while the second version uses manipulation-specific kinematic constraints to attain better sample efficiency. In both cases; we use states found via sampling-based exploration to generate reset distributions that enable training control policies under full dynamic constraints via model-free Reinforcement Learning. We show that these policies are effective at manipulation problems of higher difficulty than previously shown; and also transfer effectively to real robots.,https://www.roboticsproceedings.org/rss19/p020.pdf
110,Deep RL at Scale: Sorting Waste in Office Buildings with a Fleet of Mobile Manipulators,RSS,2023,"We describe a system for deep reinforcement learning of robotic manipulation skills applied to a large-scale real-world task: sorting recyclables and trash in office buildings. Real-world deployment of deep RL policies requires not only effective training algorithms; but the ability to bootstrap real-world training and enable broad generalization. To this end; our system combines scalable deep RL from real-world data with bootstrapping from training in simulation; and incorporates auxiliary inputs from existing computer vision systems as a way to boost generalization to novel objects; while retaining the benefits of end-to-end training. We analyze the tradeoffs of different design decisions in our system; and present a large-scale empirical validation that includes training on real-world data gathered over the course of 24
months of experimentation; across a fleet of 23 robots in three office buildings; with a total training set of 9527 hours of robotic experience. Our final validation also consists of 4800 evaluation trials across 240 waste station configurations; in order to evaluate in detail the impact of the design decisions in our system; the scaling effects of including more real-world data; and the performance of the method on novel objects.",https://www.roboticsproceedings.org/rss19/p022.pdf
111,Dynamic-Resolution Model Learning for Object Pile Manipulation,RSS,2023,Dynamics models learned from visual observations have shown to be effective in various robotic manipulation tasks. One of the key questions for learning such dynamics models is what scene representation to use. Prior works typically assume representation at a fixed dimension or resolution; which may be inefficient for simple tasks and ineffective for more complicated tasks. In this work; we investigate how to learn dynamic and adaptive representations at different levels of abstraction to achieve the optimal trade-off between efficiency and effectiveness. Specifically; we construct dynamic-resolution particle representations of the environment and learn a unified dynamics model using graph neural networks (GNNs) that allows continuous selection of the abstraction level. During test time; the agent can adaptively determine the optimal resolution at each model-predictive control (MPC) step. We evaluate our method in object pile manipulation; a task we commonly encounter in cooking; agriculture; manufacturing; and pharmaceutical applications. Through comprehensive evaluations both in the simulation and the real world; we show that our method achieves significantly better performance than state-of-the-art fixed-resolution baselines at the gathering; sorting; and redistribution of granular object piles made with various instances like coffee beans; almonds; corn; etc.,https://www.roboticsproceedings.org/rss19/p047.pdf
112,Untangling Dense Non-Planar Knots by Learning Manipulation Features and Recovery Policies,RSS,2021,Robot manipulation for untangling 1D deformable structures such as ropes; cables; and wires is challenging due to their infinite dimensional configuration space; complex dynamics; and tendency to self-occlude. Analytical controllers often fail in the presence of dense configurations; due to the difficulty of grasping between adjacent cable segments. We present two algorithms that enhance robust cable untangling; LOKI and SPiDERMan; which operate alongside HULK; a high-level planner from prior work. LOKI uses a learned model of manipulation features to refine a coarse grasp keypoint prediction to a precise; optimized location and orientation; while SPiDERMan uses a learned model to sense task progress and apply recovery actions. We evaluate these algorithms in physical cable untangling experiments with 336 knots and over 1500 actions on real cables using the da Vinci surgical robot. We find that the combination of HULK; LOKI; and SPiDERMan is able to untangle dense overhand; figure-eight; double-overhand; square; bowline; granny; stevedore; and triple-overhand knots. The composition of these methods successfully untangles a cable from a dense initial configuration in 68.3% of 60 physical experiments and achieves 50% higher success rates than baselines from prior work. Supplementary material; code; and videos can be found athttps://tinyurl.com/rssuntangling.,https://www.roboticsproceedings.org/rss17/p013.pdf
113,Deep Differentiable Grasp Planner for High-DOF Grippers,RSS,2020,We present an end-to-end algorithm for training deep neural networks to grasp novel objects. Our algorithm builds all the essential components of a grasping system using a forward-backward automatic differentiation approach; including the forward kinematics of the gripper; the collision between the gripper and the target object; and the metric for grasp poses. In particular; we show that a generalized Q1 grasp metric is defined and differentiable for inexact grasps generated by a neural network; and the derivatives of our generalized Q1 metric can be computed from a sensitivity analysis of the induced optimization problem. We show that the derivatives of the (self-)collision terms can be efficiently computed from a watertight triangle mesh of low-quality. Altogether; our algorithm allows for the computation of grasp poses for high-DOF grippers in an unsupervised mode with no ground truth data; or it improves the results in a supervised mode using a small dataset. Our new learning algorithm significantly simplifies the data preparation for learning-based grasping systems and leads to higher qualities of learned grasps on common 3D shape datasets [7; 49; 26; 25]; achieving a 22% higher success rate on physical hardware and a 0.12 higher value on the Q1 grasp quality metric.,https://www.roboticsproceedings.org/rss16/p066.pdf
114,Concept2Robot: Learning Manipulation Concepts from Instructions and Human Demonstrations,RSS,2020,We aim to endow a robot with the ability to learn manipulation concepts that link natural language instructions to motor skills. Our goal is to learn a single multi-task policy that takes as input a natural language instruction and an image of the initial scene and outputs a robot motion trajectory to achieve the specified task. This policy has to generalize over different instructions and environments. Our insight is that we can approach this problem through Learning from Demonstration by leveraging large-scale video datasets of humans performing manipulation actions. Thereby; we avoid more time-consuming processes such as teleoperation or kinesthetic teaching. We also avoid having to manually design task-specific rewards. We propose a two-stage learning process where we first learn single-task policies through reinforcement learning. The reward is provided by scoring how well the robot visually appears to perform the task. This score is given by a video-based action classifier trained on a large-scale human activity dataset. In the second stage; we train a multi-task policy through imitation learning to imitate all the single-task policies. In extensive simulation experiments; we show that the multi-task policy learns to perform a large percentage of the 78 different manipulation tasks on which it was trained. The tasks are of greater variety and complexity than previously considered robot manipulation tasks. We show that the policy generalizes over variations of the environment. We also show examples of successful generalization over novel but similar instructions.,https://www.roboticsproceedings.org/rss16/p082.pdf
115,Learning a Decentralized Multi-Arm Motion Planner,CoRL,2020,We present a closed-loop multi-arm motion planner that is scalable and flexible with team size. Traditional multi-arm robotic systems have relied on centralized motion planners; whose run times often scale exponentially with team size; and thus; fail to handle dynamic environments with open-loop control. In this paper; we tackle this problem with multi-agent reinforcement learning; where a shared policy network is trained to control each individual robot arm to reach its target end-effector pose given observations of its workspace state and target end-effector pose. The policy is trained using Soft Actor-Critic with expert demonstrations from a sampling-based motion planning algorithm (i.e.; BiRRT). By leveraging classical planning algorithms; we can improve the learning efficiency of the reinforcement learning algorithm while retaining the fast inference time of neural networks. The resulting policy scales sub-linearly and can be deployed on multi-arm systems with variable team sizes. Thanks to the closed-loop and decentralized formulation; our approach generalizes to 5-10 multiarm systems and dynamic moving targets (>90% success rate for a 10-arm system); despite being trained on only 1-4 arm planning tasks with static targets.,https://proceedings.mlr.press/v155/ha21a/ha21a.pdf
116,Learning 3D Dynamic Scene Representations for Robot Manipulation,CoRL,2020,3D scene representation for robot manipulation should capture three key object properties: permanency - objects that become occluded over time continue to exist; amodal completeness - objects have 3D occupancy; even if only partial observations are available; spatiotemporal continuity - the movement of each object is continuous over space and time. In this paper; we introduce 3D Dynamic Scene Representation (DSR); a 3D volumetric scene representation that simultaneously discovers; tracks; reconstructs objects; and predicts their dynamics while capturing all three properties. We further propose DSR-Net; which learns to aggregate visual observations over multiple interactions to gradually build and refine DSR. Our model achieves state-of-the-art performance in modeling 3D scene dynamics with DSR on both simulated and real data. Combined with model predictive control; DSR-Net enables accurate planning in downstream robotic manipulation tasks such as planar pushing. Code and data are available at dsr-net.cs.columbia.edu.,https://proceedings.mlr.press/v155/xu21b/xu21b.pdf
117,Learning Object Manipulation Skills via Approximate State Estimation from Real Videos,CoRL,2020,Humans are adept at learning new tasks by watching a few instructional videos. On the other hand; robots that learn new actions either require a lot of effort through trial and error; or use expert demonstrations that are challenging to obtain. In this paper; we explore a method that facilitates learning object manipulation skills directly from videos. Leveraging recent advances in 2D visual recognition and differentiable rendering; we develop an optimization based method to estimate a coarse 3D state representation for the hand and the manipulated object(s) without requiring any supervision. We use these trajectories as dense rewards for an agent that learns to mimic them through reinforcement learning. We evaluate our method on simple single- and two-object actions from the Something-Something dataset. Our approach allows an agent to learn actions from single videos; while watching multiple demonstrations makes the policy more robust. We show that policies learned in a simulated environment can be easily transferred to a real robot.,https://proceedings.mlr.press/v155/petrik21a/petrik21a.pdf
118,SoftGym: Benchmarking Deep Reinforcement Learning for Deformable Object Manipulation,CoRL,2020,Manipulating deformable objects has long been a challenge in robotics due to its high dimensional state representation and complex dynamics. Recent success in deep reinforcement learning provides a promising direction for learning to manipulate deformable objects with data driven methods. However; existing reinforcement learning benchmarks only cover tasks with direct state observability and simple low-dimensional dynamics or with relatively simple image-based environments; such as those with rigid objects. In this paper; we present SoftGym; a set of open-source simulated benchmarks for manipulating deformable objects; with a standard OpenAI Gym API and a Python interface for creating new environments. Our benchmark will enable reproducible research in this important area. Further; we evaluate a variety of algorithms on these tasks and highlight challenges for reinforcement learning algorithms; including dealing with a state representation that has a high intrinsic dimensionality and is partially observable. The experiments and analysis indicate the strengths and limitations of existing methods in the context of deformable object manipulation that can help point the way forward for future methods development.,https://proceedings.mlr.press/v155/lin21a/lin21a.pdf
119,Motion Planner Augmented Reinforcement Learning for Robot Manipulation in Obstructed Environments,CoRL,2020,Deep reinforcement learning (RL) agents are able to learn contact-rich manipulation tasks by maximizing a reward signal; but require large amounts of experience; especially in environments with many obstacles that complicate exploration. In contrast; motion planners use explicit models of the agent and environment to plan collision-free paths to faraway goals; but suffer from inaccurate models in tasks that require contacts with the environment. To combine the benefits of both approaches; we propose motion planner augmented RL (MoPA-RL) which augments the action space of an RL agent with the long-horizon planning capabilities of motion planners. Based on the magnitude of the action; our approach smoothly transitions between directly executing the action and invoking a motion planner. We evaluate our approach on various simulated manipulation tasks and compare it to alternative action spaces in terms of learning efficiency and safety. The experiments demonstrate that MoPA-RL increases learning efficiency; leads to a faster exploration; and results in safer policies that avoid collisions with the environment. Videos and code are available at https://clvrai.com/mopa-rl.,https://proceedings.mlr.press/v155/yamada21a/yamada21a.pdf
120,Learning to Compose Hierarchical Object-Centric Controllers for Robotic Manipulation,CoRL,2020,Manipulation tasks can often be decomposed into multiple subtasks performed in parallel; e.g.; sliding an object to a goal pose while maintaining contact with a table.  Individual subtasks can be achieved by task-axis controllers defined relative to the objects being manipulated; and a set of object-centric controllers can be combined in an hierarchy. In prior works; such combinations are defined manually or learned from demonstrations. By contrast; we propose using reinforcement learning to dynamically compose hierarchical object-centric controllers for manipulation tasks. Experiments in both simulation and real world show how the proposed approach leads to improved sample efficiency; zero-shot generalization to novel test environments; and simulation-to-reality transfer without fine-tuning.,https://proceedings.mlr.press/v155/sharma21a/sharma21a.pdf
